Emma hoped that the rmptwfybkolfgpytmytsrkaqkxvql rolled .	* rmptwfybkolfgpytmytsrkaqkxvql ( x _ 4 ) ; hope . agent ( x _ 1 , Emma ) AND hope . ccomp ( x _ 1 , x _ 5 ) AND roll . theme ( x _ 5 , x _ 4 )	exposure_example_unacc_subj
A pumpkin was ouerlymzwaelydwubtwjocd .	pumpkin ( x _ 1 ) AND znzfjdbmkofbbbdgvg . theme ( x _ 3 , x _ 1 )	exposure_example_passive
The girl liked that Leah fmvycpxmrfvldgb Sophia the cake in a house .	* girl ( x _ 1 ) ; * cake ( x _ 8 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 5 ) AND cfijscqvnuefunzzncymufxqn . agent ( x _ 5 , Leah ) AND cfijscqvnuefunzzncymufxqn . recipient ( x _ 5 , Sophia ) AND cfijscqvnuefunzzncymufxqn . theme ( x _ 5 , x _ 8 ) AND cake . nmod . in ( x _ 8 , x _ 11 ) AND house ( x _ 11 )	exposure_example_do_dative
amufsfdppilmrrwswrdyb	amufsfdppilmrrwswrdyb	primitive
amufsfdppilmrrwswrdyb	amufsfdppilmrrwswrdyb	primitive
The buyer forwarded Emma lvuntmgqympvfkmfiqtkfuaahuqi .	* buyer ( x _ 1 ) ; forward . agent ( x _ 2 , x _ 1 ) AND forward . recipient ( x _ 2 , Emma ) AND forward . theme ( x _ 2 , lvuntmgqympvfkmfiqtkfuaahuqi )	exposure_example_obj_proper
Wyatt xmkuczajfqqqryleiaiafrvmtexem .	ffdqrmojcbtjnuxtemzwtzd . agent ( x _ 1 , Wyatt )	exposure_example_obj_omitted_transitive
The rkijtgjqamjtwsmcbi burned the bear .	* rkijtgjqamjtwsmcbi ( x _ 1 ) ; * bear ( x _ 4 ) ; burn . agent ( x _ 2 , x _ 1 ) AND burn . theme ( x _ 2 , x _ 4 )	exposure_example_subj_common
bawtukbhlbsfovjjpvcgpqvbt	LAMBDA a . LAMBDA e . bawtukbhlbsfovjjpvcgpqvbt . agent ( e , a )	primitive
The sandwich frczjmrzxukbcfjhdscsbb .	* sandwich ( x _ 1 ) ; nrkaimtslyuywwjqnlkazsw . theme ( x _ 2 , x _ 1 )	exposure_example_unacc
Emma ate the pdjporsukujytztwepelmsrrxt on a road .	* pdjporsukujytztwepelmsrrxt ( x _ 3 ) ; eat . agent ( x _ 1 , Emma ) AND eat . theme ( x _ 1 , x _ 3 ) AND pdjporsukujytztwepelmsrrxt . nmod . on ( x _ 3 , x _ 6 ) AND road ( x _ 6 )	exposure_example_obj_common
Emma oymissttilzmbmwusijerzrlugow Charlotte .	avqcnlqcieuzfraxxvmltnmvjjswr . agent ( x _ 1 , Emma ) AND avqcnlqcieuzfraxxvmltnmvjjswr . theme ( x _ 1 , Charlotte )	exposure_example_active
Emma oymissttilzmbmwusijerzrlugow a cake beside the seat .	* seat ( x _ 6 ) ; avqcnlqcieuzfraxxvmltnmvjjswr . agent ( x _ 1 , Emma ) AND avqcnlqcieuzfraxxvmltnmvjjswr . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 ) AND cake . nmod . beside ( x _ 3 , x _ 6 )	exposure_example_active
bawtukbhlbsfovjjpvcgpqvbt	LAMBDA a . LAMBDA e . bawtukbhlbsfovjjpvcgpqvbt . agent ( e , a )	primitive
A baby lended the pdjporsukujytztwepelmsrrxt to the dog .	* pdjporsukujytztwepelmsrrxt ( x _ 4 ) ; * dog ( x _ 7 ) ; baby ( x _ 1 ) AND lend . agent ( x _ 2 , x _ 1 ) AND lend . theme ( x _ 2 , x _ 4 ) AND lend . recipient ( x _ 2 , x _ 7 )	exposure_example_obj_common
A monkey xmkuczajfqqqryleiaiafrvmtexem .	monkey ( x _ 1 ) AND ffdqrmojcbtjnuxtemzwtzd . agent ( x _ 2 , x _ 1 )	exposure_example_obj_omitted_transitive
The boy appreciated that a rmptwfybkolfgpytmytsrkaqkxvql floated .	* boy ( x _ 1 ) ; appreciate . agent ( x _ 2 , x _ 1 ) AND appreciate . ccomp ( x _ 2 , x _ 6 ) AND rmptwfybkolfgpytmytsrkaqkxvql ( x _ 5 ) AND float . theme ( x _ 6 , x _ 5 )	exposure_example_unacc_subj
A book frczjmrzxukbcfjhdscsbb .	book ( x _ 1 ) AND nrkaimtslyuywwjqnlkazsw . theme ( x _ 2 , x _ 1 )	exposure_example_unacc
The girl fmvycpxmrfvldgb Penelope a cake in a box .	* girl ( x _ 1 ) ; cfijscqvnuefunzzncymufxqn . agent ( x _ 2 , x _ 1 ) AND cfijscqvnuefunzzncymufxqn . recipient ( x _ 2 , Penelope ) AND cfijscqvnuefunzzncymufxqn . theme ( x _ 2 , x _ 5 ) AND cake ( x _ 5 ) AND cake . nmod . in ( x _ 5 , x _ 8 ) AND box ( x _ 8 )	exposure_example_do_dative
The cat wished that the rmptwfybkolfgpytmytsrkaqkxvql rolled .	* cat ( x _ 1 ) ; * rmptwfybkolfgpytmytsrkaqkxvql ( x _ 5 ) ; wish . agent ( x _ 2 , x _ 1 ) AND wish . ccomp ( x _ 2 , x _ 6 ) AND roll . theme ( x _ 6 , x _ 5 )	exposure_example_unacc_subj
