Emma hoped that the jisoleyafatu rolled .	* jisoleyafatu ( x _ 4 ) ; hope . agent ( x _ 1 , Emma ) AND hope . ccomp ( x _ 1 , x _ 5 ) AND roll . theme ( x _ 5 , x _ 4 )	exposure_example_unacc_subj
A pumpkin was bahufowu .	pumpkin ( x _ 1 ) AND wutozodibub . theme ( x _ 3 , x _ 1 )	exposure_example_passive
The girl liked that Leah cifoqof Sophia the cake in a house .	* girl ( x _ 1 ) ; * cake ( x _ 8 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 5 ) AND lakemaj . agent ( x _ 5 , Leah ) AND lakemaj . recipient ( x _ 5 , Sophia ) AND lakemaj . theme ( x _ 5 , x _ 8 ) AND cake . nmod . in ( x _ 8 , x _ 11 ) AND house ( x _ 11 )	exposure_example_do_dative
nunilugakiqot	nunilugakiqot	primitive
nunilugakiqot	nunilugakiqot	primitive
The buyer forwarded Emma jumiganawo .	* buyer ( x _ 1 ) ; forward . agent ( x _ 2 , x _ 1 ) AND forward . recipient ( x _ 2 , Emma ) AND forward . theme ( x _ 2 , jumiganawo )	exposure_example_obj_proper
Wyatt cawesudafa .	geqiginecif . agent ( x _ 1 , Wyatt )	exposure_example_obj_omitted_transitive
The rusoqiwo burned the bear .	* rusoqiwo ( x _ 1 ) ; * bear ( x _ 4 ) ; burn . agent ( x _ 2 , x _ 1 ) AND burn . theme ( x _ 2 , x _ 4 )	exposure_example_subj_common
jibiyuyimika	LAMBDA a . LAMBDA e . jibiyuyimika . agent ( e , a )	primitive
The sandwich dafagucacay .	* sandwich ( x _ 1 ) ; hitikuzodecere . theme ( x _ 2 , x _ 1 )	exposure_example_unacc
Emma ate the qenikayimese on a road .	* qenikayimese ( x _ 3 ) ; eat . agent ( x _ 1 , Emma ) AND eat . theme ( x _ 1 , x _ 3 ) AND qenikayimese . nmod . on ( x _ 3 , x _ 6 ) AND road ( x _ 6 )	exposure_example_obj_common
Emma hilepacewok Charlotte .	bifunajihepe . agent ( x _ 1 , Emma ) AND bifunajihepe . theme ( x _ 1 , Charlotte )	exposure_example_active
Emma hilepacewok a cake beside the seat .	* seat ( x _ 6 ) ; bifunajihepe . agent ( x _ 1 , Emma ) AND bifunajihepe . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 ) AND cake . nmod . beside ( x _ 3 , x _ 6 )	exposure_example_active
jibiyuyimika	LAMBDA a . LAMBDA e . jibiyuyimika . agent ( e , a )	primitive
A baby lended the qenikayimese to the dog .	* qenikayimese ( x _ 4 ) ; * dog ( x _ 7 ) ; baby ( x _ 1 ) AND lend . agent ( x _ 2 , x _ 1 ) AND lend . theme ( x _ 2 , x _ 4 ) AND lend . recipient ( x _ 2 , x _ 7 )	exposure_example_obj_common
A monkey cawesudafa .	monkey ( x _ 1 ) AND geqiginecif . agent ( x _ 2 , x _ 1 )	exposure_example_obj_omitted_transitive
The boy appreciated that a jisoleyafatu floated .	* boy ( x _ 1 ) ; appreciate . agent ( x _ 2 , x _ 1 ) AND appreciate . ccomp ( x _ 2 , x _ 6 ) AND jisoleyafatu ( x _ 5 ) AND float . theme ( x _ 6 , x _ 5 )	exposure_example_unacc_subj
A book dafagucacay .	book ( x _ 1 ) AND hitikuzodecere . theme ( x _ 2 , x _ 1 )	exposure_example_unacc
The girl cifoqof Penelope a cake in a box .	* girl ( x _ 1 ) ; lakemaj . agent ( x _ 2 , x _ 1 ) AND lakemaj . recipient ( x _ 2 , Penelope ) AND lakemaj . theme ( x _ 2 , x _ 5 ) AND cake ( x _ 5 ) AND cake . nmod . in ( x _ 5 , x _ 8 ) AND box ( x _ 8 )	exposure_example_do_dative
The cat wished that the jisoleyafatu rolled .	* cat ( x _ 1 ) ; * jisoleyafatu ( x _ 5 ) ; wish . agent ( x _ 2 , x _ 1 ) AND wish . ccomp ( x _ 2 , x _ 6 ) AND roll . theme ( x _ 6 , x _ 5 )	exposure_example_unacc_subj
Liam reddened a qenikayimese .	redden . agent ( x _ 1 , Liam ) AND redden . theme ( x _ 1 , x _ 3 ) AND qenikayimese ( x _ 3 )	exposure_example_obj_common
Emma hilepacewok the student .	* student ( x _ 3 ) ; bifunajihepe . agent ( x _ 1 , Emma ) AND bifunajihepe . theme ( x _ 1 , x _ 3 )	exposure_example_active
The jisoleyafatu floated .	* jisoleyafatu ( x _ 1 ) ; float . theme ( x _ 2 , x _ 1 )	exposure_example_unacc_subj
yecujutado painted a donut in the shoe .	* shoe ( x _ 6 ) ; paint . agent ( x _ 1 , yecujutado ) AND paint . theme ( x _ 1 , x _ 3 ) AND donut ( x _ 3 ) AND donut . nmod . in ( x _ 3 , x _ 6 )	exposure_example_subj_proper
A sandwich was bahufowu .	sandwich ( x _ 1 ) AND wutozodibub . theme ( x _ 3 , x _ 1 )	exposure_example_passive
Emma cifoqof Ella a cake .	lakemaj . agent ( x _ 1 , Emma ) AND lakemaj . recipient ( x _ 1 , Ella ) AND lakemaj . theme ( x _ 1 , x _ 4 ) AND cake ( x _ 4 )	exposure_example_do_dative
jibiyuyimika	LAMBDA a . LAMBDA e . jibiyuyimika . agent ( e , a )	primitive
A boy painted a qenikayimese .	boy ( x _ 1 ) AND paint . agent ( x _ 2 , x _ 1 ) AND paint . theme ( x _ 2 , x _ 4 ) AND qenikayimese ( x _ 4 )	exposure_example_obj_common
The creature grew jumiganawo .	* creature ( x _ 1 ) ; grow . agent ( x _ 2 , x _ 1 ) AND grow . theme ( x _ 2 , jumiganawo )	exposure_example_obj_proper
Ethan hilepacewok a shirt .	bifunajihepe . agent ( x _ 1 , Ethan ) AND bifunajihepe . theme ( x _ 1 , x _ 3 ) AND shirt ( x _ 3 )	exposure_example_active
